000101,116390,118280,115410,117490,53262
000102,117490,118030,117470,117890,43287
000103,117890,118120,117730,117910,20107
000104,117920,117970,117770,117880,12627
000105,117890,118040,117840,117850,12667
000106,117840,118000,117760,117940,11436
000107,117940,118240,117860,118160,10457
000108,118170,118590,118140,118570,19906
000109,118580,118830,118420,118700,19724
000110,118770,119140,118750,119110,15785
000111,119110,119800,119050,119790,18943
000112,119800,119950,119150,119360,24456
000113,119350,119370,118980,119120,8059
000114,119110,119330,119040,119230,7124
000115,119330,119740,119300,119310,28199
000116,119310,120380,119250,120320,42977
000117,120320,120580,119960,120520,33829
000118,120530,120900,120390,120810,26972
000119,120810,120920,120680,120780,13886
000120,120770,121360,120760,121340,23037
000121,121350,121740,120610,121240,63880
000122,121240,122080,121050,121640,79177
000123,121640,121820,121410,121620,24193
000124,121600,122350,121600,122240,19771
000125,122250,122590,122190,122390,11050
000126,122390,122470,122250,122410,6417
000127,122410,122530,122380,122430,4895
000128,122430,122560,122370,122530,5016
000129,122440,122500,121570,121590,39070
000130,121590,122450,121590,122150,26195
000131,122140,122340,121670,121690,29434
000201,121680,121860,121470,121720,22728
000202,121730,122000,121730,121790,14220
000203,121790,121830,121610,121740,15051
000204,121730,122190,121600,122000,25062
000205,122000,122500,121860,122300,23915
000206,122320,122610,122240,122560,24015
000207,122530,122560,122350,122450,10684
000208,122450,122530,122410,122460,2542
000209,122460,122580,122440,122570,3460
000210,122570,122860,122540,122780,7410
000211,122770,122950,122670,122710,6081
000212,122880,123470,122720,123220,29800
000213,123210,123990,123190,123810,41395
000214,123810,124410,123770,124380,25957
000215,124380,124520,124050,124230,23243
000216,124230,124430,124110,124240,16854
000217,124240,124290,123360,123510,46732
000218,123510,123670,123400,123520,20459
000219,123520,123750,123030,123130,31879
000220,123130,123710,122800,123590,35367
000221,123600,124170,123370,123920,32659
000222,123920,123940,123660,123870,9466
000223,123870,124040,123850,124000,4832
000224,123990,124140,123860,123920,5967
000225,123920,123950,123770,123920,4283
000226,123930,124390,123230,123430,53474
000227,123420,123640,123010,123040,43016
000228,123030,123500,123010,123480,27026
000229,123490,123610,122920,123080,32759
000301,123080,123520,123010,123320,30088
000302,123310,123380,123060,123310,24023
000303,123310,123500,123110,123430,24742
000304,123420,123720,123370,123560,45436
000305,123570,123940,123540,123850,33828
000306,123870,123870,123410,123470,16746
000307,123480,123670,123430,123630,6242
000308,123630,123820,123610,123770,4992
000309,123780,123900,123530,123700,7450
000310,123680,123800,123640,123680,4330
000311,123680,123800,123130,123390,28258
000312,123400,124080,123330,123980,39290
000313,123990,124300,123910,124280,28606
000314,124270,124400,124070,124280,23862
000315,124280,124400,124160,124340,14084
000316,124340,124670,124340,124500,27317
000317,124510,124840,124330,124750,33992
000318,124760,125020,124490,124940,36415
000319,124950,125340,124930,125200,42577
000320,125250,125480,125050,125130,18052
000321,125130,125530,125090,125420,8464
000322,125410,125480,125240,125350,8045
000323,125350,125610,125290,125500,10028
000324,125500,125760,125430,125560,10805
000325,125590,125730,124770,124790,44410
000326,124780,125330,124760,125250,26730
000327,125240,125680,125210,125380,30457
000328,125360,126330,125280,126140,55867
000329,126160,126240,125420,125630,46752
000330,125630,125970,125580,125820,29576
000331,125810,126140,125530,125580,34857
000401,125580,126340,125460,126230,32876
000402,126220,126500,126080,126290,29626
000403,126270,126550,126070,126420,14504
000404,126420,126940,126410,126620,22710
000405,126630,126980,126610,126890,14365
000406,126880,126960,126830,126900,5798
000407,126890,127050,126860,126910,8101
000408,126990,127860,126900,127510,61018
000409,127520,127640,127150,127340,41553
000410,127340,127500,127170,127380,33288
000411,127400,127420,126970,127230,26812
000412,127210,127320,127090,127120,14613
000413,127120,127210,126870,126950,22168
000414,126950,127270,126880,127110,29070
000415,127120,127120,126590,126660,30976
000416,126660,127070,126650,127000,29615
000417,127000,127050,126430,126470,25922
000418,126480,126860,126470,126820,8804
000419,126830,126870,126750,126790,3089
000420,126780,127670,126770,127250,16927
000421,127220,127260,127120,127170,4602
000422,127120,127260,126600,126910,42945
000423,126910,126980,125940,126050,50758
000424,126050,126130,125450,125850,41668
000425,125850,125870,125230,125340,34734
000426,125330,125700,125060,125620,35703
000427,125630,126020,125560,125770,30133
000428,125780,126280,125760,126250,29943
000429,126250,126470,125840,126400,38565
000430,126400,126730,126280,126640,33144
000501,126580,126630,125580,125650,33524
000502,125640,125780,125480,125710,15900
000503,125710,125880,125620,125680,9620
000504,125680,125710,125230,125340,15210
000505,125340,125610,125210,125300,10215
000506,125270,125390,124650,125370,71570
000507,125360,125970,125290,125780,65020
000508,125780,126120,125620,126030,44732
000509,126030,126110,125560,125680,35342
000510,125710,126280,125680,126190,30532
000511,126180,126230,125710,125960,32005
000512,125960,126420,125830,126380,35904
000513,126380,126680,126300,126380,57772
000514,126370,126870,126250,126610,34651
000515,126720,127040,126440,126860,20953
000516,126870,127220,126840,127120,17742
000517,127130,127370,127040,127230,13623
000518,127220,127470,127110,127130,12581
000519,127130,127170,126740,126830,13269
000520,126830,128070,126820,127260,93702
000521,127270,127680,127150,127400,39683
000522,127400,127650,126870,127560,45369
000523,127570,127840,127420,127800,27589
000524,127820,128140,127740,128030,36028
000525,128040,128310,127900,128140,34564
000526,128140,128590,128010,128500,38515
000527,128500,128780,128330,128720,43675
000528,128710,128720,128070,128250,42555
000529,128400,129010,128210,128900,35313
000530,128900,129040,128830,129030,13786
000531,129020,129250,128940,129180,12575
000601,129170,129440,129160,129350,14328
000602,129350,129480,129020,129280,14813
000603,129160,129190,128340,128490,82881
