000101,107440,107580,107020,107560,52534
000102,107550,107710,107390,107480,39948
000103,107490,107700,107420,107480,26388
000104,107480,107940,107440,107880,37145
000105,107890,107950,107750,107870,18960
000106,107860,107910,107510,107580,20807
000107,107580,107940,107450,107490,36011
000108,107490,107980,107480,107860,38508
000109,107860,108290,107780,108280,35510
000110,108280,108400,108020,108020,10198
000111,108040,108060,107820,107920,8026
000112,107920,108090,107910,108060,3386
000113,108060,108100,107840,107860,4167
000114,107850,107870,107500,107500,9752
000115,107500,107630,107030,107270,72885
000116,107270,107430,107040,107310,45126
000117,107300,107390,107090,107150,23382
000118,107160,107670,107120,107660,41860
000119,107640,107710,107150,107380,31507
000120,107360,107440,107160,107290,21273
000121,107290,107350,107120,107210,35918
000122,107210,107630,107150,107370,54729
000123,107350,107490,107230,107230,21751
000124,107230,107620,107050,107440,14757
000125,107440,107790,107280,107760,15754
000126,107760,107980,107700,107720,17829
000127,107710,107770,107510,107730,10021
000128,107710,107800,107560,107640,7189
000129,107630,107630,106210,106390,101004
000130,106390,106490,105860,106150,66500
000131,106160,106340,105880,106010,54557
000201,106030,106100,105650,105750,50658
000202,105720,105780,105540,105720,45006
000203,105720,105880,105510,105530,39885
000204,105530,105720,105270,105310,64925
000205,105310,105360,104610,105000,109600
000206,105000,105040,104690,104740,38864
000207,104830,105250,104760,105040,24883
000208,105040,105310,105030,105230,11208
000209,105230,105280,104820,104920,14403
000210,104910,105190,104910,105040,8183
000211,105040,105800,104990,105530,18867
000212,105490,105750,104100,104370,110286
000213,104370,104530,103660,103810,69163
000214,103800,104340,103800,103850,45216
000215,103850,104090,103710,103980,25304
000216,103990,104050,103550,103630,26283
000217,103630,104260,103580,103980,50915
000218,103970,104080,103680,103970,40318
000219,103970,104030,103410,103690,67437
000220,103690,104430,103680,104180,88039
000221,104190,104630,104110,104380,22340
000222,104370,104520,104100,104150,11532
000223,104170,104300,103610,103770,18280
000224,103760,103990,103710,103970,9337
000225,103950,104070,103700,103790,7357
000226,103750,103750,102390,102650,133563
000227,102660,103880,102540,103550,92731
000228,103550,103600,102810,103160,122489
000229,103150,103530,102910,103170,35206
000301,103190,103580,103080,103160,34105
000302,103150,103690,103150,103440,54791
000303,103440,104300,103430,103700,79665
000304,103690,103970,103530,103680,39329
000305,103670,104130,103670,104010,37221
000306,104130,104420,104070,104250,21205
000307,104260,104470,104160,104390,8958
000308,104390,104390,104060,104180,9053
000309,104180,104340,104110,104280,11940
000310,104280,104800,104270,104420,17999
000311,104420,105000,104120,104770,97261
000312,104780,105130,104670,105080,50647
000313,105080,105120,104610,104750,37243
000314,104750,104770,104080,104240,55713
000315,104240,104440,104140,104240,25258
000316,104250,104250,103570,103720,64850
000317,103720,104040,103650,104010,37603
000318,104030,104210,103840,103990,55806
000319,103990,104080,103750,103760,31280
000320,103790,104130,103740,103940,13478
000321,103950,104160,103930,104050,9429
000322,104060,104080,103920,103990,5711
000323,104000,104100,103660,103910,11589
000324,103900,104060,103860,104030,6488
000325,104030,104290,103310,103610,92786
000326,103610,103890,103350,103690,53340
000327,103690,103780,103400,103490,35198
000328,103490,104100,103470,103900,43901
000329,103900,103910,103700,103760,21871
000330,103760,103920,103590,103700,28036
000331,103700,103840,103490,103720,34690
000401,103730,103980,103520,103630,40450
000402,103640,104250,103450,104130,33238
000403,104260,104590,104130,104460,25248
000404,104460,104510,104220,104320,11396
000405,104310,104790,104310,104770,18098
000406,104780,104890,104460,104570,11789
000407,104550,104570,104050,104100,12492
000408,104080,104250,103650,104060,65835
000409,104060,104250,103820,104180,39307
000410,104180,104640,104150,104600,47366
000411,104600,104660,104280,104480,38494
000412,104480,104600,104290,104460,20208
000413,104460,104650,104330,104390,23560
000414,104370,104490,103930,104210,43878
000415,104220,104280,102820,103150,143123
000416,103160,103230,102850,103020,36241
000417,103040,103050,102490,102610,23350
000418,102630,102770,102410,102750,17559
000419,102740,102930,102630,102770,15507
000420,102770,102830,102640,102760,8719
000421,102750,102810,102600,102700,8352
000422,102710,103150,102630,102990,61008
000423,102990,103020,102480,102720,51341
000424,102720,102900,102510,102560,36924
000425,102560,102750,102550,102620,27011
000426,102600,102620,101900,102150,70225
000427,102150,102170,101740,101970,41679
000428,101970,102890,101930,102880,85536
000429,102890,103190,102710,102840,80484
000430,102850,103500,102840,103410,50552
000501,103450,103490,103290,103430,16808
000502,103440,103440,103320,103380,12535
000503,103380,103390,103000,103030,11326
000504,103020,103190,103010,103130,7430
000505,103110,103160,103020,103060,4737
000506,103020,103250,102680,102910,70519
000507,102910,103830,102810,103750,67265
000508,103750,104070,103540,103960,52831
000509,103950,104020,103670,103700,27756
000510,103700,103890,103470,103790,29529
000511,103780,103830,103380,103560,38872
000512,103560,103640,103030,103340,61838
000513,103340,103390,102930,103190,45832
000514,103190,103700,103160,103630,36824
000515,103630,103840,103460,103510,16527
000516,103510,103530,103210,103240,12881
000517,103250,103400,102670,102800,22027
000518,102800,103190,102800,103180,16843
000519,103180,103490,103140,103340,8682
000520,103400,103700,102890,103310,100675
000521,103320,103650,103070,103190,63171
000522,103190,103480,103110,103300,37095
000523,103310,103490,103200,103200,26397
000524,103220,103250,103000,103110,36906
000525,103100,103180,102860,103070,33940
000526,103070,103720,103030,103350,63428
000527,103340,103470,103060,103100,56746
000528,103100,103360,102820,103230,48531
000529,103210,103370,103100,103340,15266
000530,103350,103360,103160,103220,6584
000531,103220,103460,103200,103350,10562
000601,103340,103500,103270,103330,7551
000602,103330,103380,102910,102950,11791
000603,102990,103120,102060,102140,103497
